year_id,al_mvp,al_mvp_points,al_mvp_pct,nl_mvp,nl_mvp_points,nl_mvp_pct
1911,Ty Cobb,64,1.000,Frank Schulte,29,0.453
1912,Tris Speaker,59,0.922,Larry Doyle,48,0.750
1913,Walter Johnson,54,0.844,Jake Daubert,50,0.781
1914,Eddie Collins,63,0.984,Johnny Evers,50,0.781
1922,George Sisler,59,0.922,NA,0,0.000
1923,Babe Ruth,64,1.000,NA,0,0.000
1924,Walter Johnson,55,0.859,Dazzy Vance,74,0.925
1925,Roger Peckinpaugh,45,0.703,Rogers Hornsby,73,0.913
1926,George Burns,63,0.984,"Bob O'Farrell",79,0.988
1927,Lou Gehrig,56,0.875,Paul Waner,72,0.900
1928,Mickey Cochrane,53,0.828,Jim Bottomley,76,0.950
1929,NA,0,0.000,Rogers Hornsby,60,0.750
1931,Lefty Grove,78,0.975,Frankie Frisch,65,0.813
1932,Jimmie Foxx,75,0.938,Chuck Klein,78,0.975
1933,Jimmie Foxx,74,0.925,Carl Hubbell,77,0.963
1934,Mickey Cochrane,67,0.838,Dizzy Dean,78,0.975
1935,Hank Greenberg,80,1.000,Gabby Hartnett,75,0.938
1936,Lou Gehrig,73,0.913,Carl Hubbell,60,0.750
1937,Charlie Gehringer,78,0.975,Joe Medwick,70,0.875
1938,Jimmie Foxx,305,0.908,Ernie Lombardi,229,0.682
1939,Joe DiMaggio,280,0.833,Bucky Walters,303,0.902
1940,Hank Greenberg,292,0.869,Frank McCormick,274,0.815
1941,Joe DiMaggio,291,0.866,Dolph Camilli,300,0.893
1942,Joe Gordon,270,0.804,Mort Cooper,263,0.783
1943,Spud Chandler,246,0.732,Stan Musial,267,0.795
1944,Hal Newhouser,236,0.702,Marty Marion,190,0.565
1945,Hal Newhouser,236,0.702,Phil Cavarretta,279,0.830
1946,Ted Williams,224,0.667,Stan Musial,319,0.949
1947,Joe DiMaggio,202,0.601,Bob Elliott,205,0.610
1948,Lou Boudreau,324,0.964,Stan Musial,303,0.902
1949,Ted Williams,272,0.810,Jackie Robinson,264,0.786
1950,Phil Rizzuto,284,0.845,Jim Konstanty,286,0.851
1951,Yogi Berra,184,0.548,Roy Campanella,243,0.723
1952,Bobby Shantz,280,0.833,Hank Sauer,226,0.673
1953,Al Rosen,336,1.000,Roy Campanella,297,0.884
1954,Yogi Berra,230,0.685,Willie Mays,283,0.842
1955,Yogi Berra,218,0.649,Roy Campanella,226,0.673
1956,Mickey Mantle,336,1.000,Don Newcombe,223,0.664
1957,Mickey Mantle,233,0.693,Hank Aaron,239,0.711
1958,Jackie Jensen,233,0.693,Ernie Banks,283,0.842
1959,Nellie Fox,295,0.878,Ernie Banks,232,0.690
1960,Roger Maris,225,0.670,Dick Groat,276,0.821
1961,Roger Maris,202,0.721,Frank Robinson,219,0.978
1962,Mickey Mantle,234,0.836,Maury Wills,209,0.746
1963,Elston Howard,248,0.886,Sandy Koufax,237,0.846
1964,Brooks Robinson,269,0.961,Ken Boyer,243,0.868
1965,Zoilo Versalles,275,0.982,Willie Mays,224,0.800
1966,Frank Robinson,280,1.000,Roberto Clemente,218,0.779
1967,Carl Yastrzemski,275,0.982,Orlando Cepeda,280,1.000
1968,Denny McLain,280,1.000,Bob Gibson,242,0.864
1969,Harmon Killebrew,294,0.875,Willie McCovey,265,0.789
1970,Boog Powell,234,0.696,Johnny Bench,326,0.970
1971,Vida Blue,268,0.798,Joe Torre,318,0.946
1972,Dick Allen,321,0.955,Johnny Bench,263,0.783
1973,Reggie Jackson,336,1.000,Pete Rose,274,0.815
1974,Jeff Burroughs,248,0.738,Steve Garvey,270,0.804
1975,Fred Lynn,326,0.970,Joe Morgan,321,0.955
1976,Thurman Munson,304,0.905,Joe Morgan,311,0.926
1977,Rod Carew,273,0.696,George Foster,291,0.866
1978,Jim Rice,352,0.898,Dave Parker,320,0.952
1979,Don Baylor,347,0.885,Willie Stargell,216,0.643
1980,George Brett,335,0.855,Mike Schmidt,336,1.000
1981,Rollie Fingers,319,0.814,Mike Schmidt,321,0.955
1982,Robin Yount,385,0.982,Dale Murphy,283,0.842
1983,Cal Ripken,322,0.821,Dale Murphy,318,0.946
1984,Willie Hernandez,306,0.781,Ryne Sandberg,326,0.970
1985,Don Mattingly,367,0.936,Willie McGee,280,0.833
1986,Roger Clemens,339,0.865,Mike Schmidt,287,0.854
1987,George Bell,332,0.847,Andre Dawson,269,0.801
1988,Jose Canseco,392,1.000,Kirk Gibson,272,0.810
1989,Robin Yount,256,0.653,Kevin Mitchell,314,0.935
1990,Rickey Henderson,317,0.809,Barry Bonds,331,0.985
1991,Cal Ripken,318,0.811,Terry Pendleton,274,0.815
1992,Dennis Eckersley,306,0.781,Barry Bonds,304,0.905
1993,Frank Thomas,392,1.000,Barry Bonds,372,0.949
1994,Frank Thomas,372,0.949,Jeff Bagwell,392,1.000
1995,Mo Vaughn,308,0.786,Barry Larkin,281,0.717
1996,Juan Gonzalez,290,0.740,Ken Caminiti,392,1.000
1997,Ken Griffey,392,1.000,Larry Walker,359,0.916
1998,Juan Gonzalez,357,0.911,Sammy Sosa,438,0.978
1999,Ivan Rodriguez,252,0.643,Chipper Jones,432,0.964
2000,Jason Giambi,317,0.809,Jeff Kent,392,0.875
2001,Ichiro Suzuki,289,0.737,Barry Bonds,438,0.978
2002,Miguel Tejada,356,0.908,Barry Bonds,448,1.000
2003,Alex Rodriguez,242,0.617,Barry Bonds,426,0.951
2004,Vladimir Guerrero,354,0.903,Barry Bonds,407,0.908
2005,Alex Rodriguez,331,0.844,Albert Pujols,378,0.844
2006,Justin Morneau,320,0.816,Ryan Howard,388,0.866
2007,Alex Rodriguez,382,0.974,Jimmy Rollins,353,0.788
2008,Dustin Pedroia,317,0.809,Albert Pujols,369,0.824
2009,Joe Mauer,387,0.987,Albert Pujols,448,1.000
2010,Josh Hamilton,358,0.913,Joey Votto,443,0.989
2011,Justin Verlander,280,0.714,Ryan Braun,388,0.866
2012,Miguel Cabrera,362,0.923,Buster Posey,422,0.942
2013,Miguel Cabrera,385,0.917,Andrew McCutchen,409,0.974
2014,Mike Trout,420,1.000,Clayton Kershaw,355,0.845
2015,Josh Donaldson,385,0.917,Bryce Harper,420,1.000
2016,Mike Trout,356,0.848,Kris Bryant,415,0.988
2017,Jose Altuve,405,0.964,Giancarlo Stanton,302,0.719
2018,Mookie Betts,410,0.976,Christian Yelich,415,0.988
2019,Mike Trout,355,0.845,Cody Bellinger,362,0.862
2020,Jose Abreu,374,0.890,Freddie Freeman,410,0.976
2021,Shohei Ohtani,420,1.000,Bryce Harper,348,0.829
2022,Aaron Judge,410,0.976,Paul Goldschmidt,380,0.905
2023,Shohei Ohtani,420,1.000,Ronald Acuna,420,1.000